Esemble Gene ID,RP3V,ARC Log2>7,Gene Name
ENSMUSG00000067787,7.63,10.93,Blcap
ENSMUSG00000020840,10.49,9.47,Blmh
ENSMUSG00000090247,9.05,8.1,Bloc1s1
ENSMUSG00000057506,11.15,11.32,Bloc1s2
ENSMUSG00000038982,4.02,8.53,Bloc1s5
ENSMUSG00000005804,5.63,7.29,Bloc1s6
ENSMUSG00000001999,10.08,9.72,Blvra
ENSMUSG00000044117,7.89,10.4,Bmerb1
ENSMUSG00000026739,6.1,8.35,Bmi1
ENSMUSG00000049086,8.61,11.08,Bmyc
ENSMUSG00000011958,1.15,8.24,Bnip2
ENSMUSG00000078566,9.01,10.54,Bnip3
ENSMUSG00000022051,11.09,10.69,Bnip3l
ENSMUSG00000044502,8.79,9.74,Bod1
ENSMUSG00000061755,6.9,10.72,Bod1l
ENSMUSG00000015943,9.65,10.41,Bola1
ENSMUSG00000047721,12.84,11.59,Bola2
ENSMUSG00000045160,10.86,10.89,Bola3
ENSMUSG00000062376,9.57,10.2,Borcs7
ENSMUSG00000002345,5.36,8.07,Borcs8
ENSMUSG00000038871,7.6,7.93,Bpgm
ENSMUSG00000038286,3.89,7.69,Bphl
ENSMUSG00000026617,5.19,8.95,Bpnt1
ENSMUSG00000040481,11.25,8.87,Bptf
ENSMUSG00000031201,10.7,10.96,Brcc3
ENSMUSG00000024335,6.58,8.28,Brd2
ENSMUSG00000026918,6.53,8.56,Brd3
ENSMUSG00000024002,8.11,9.78,Brd4
ENSMUSG00000031660,5.96,7.01,Brd7
ENSMUSG00000003778,9.29,9.13,Brd8
ENSMUSG00000057649,10.7,9.98,Brd9
ENSMUSG00000028351,4.83,7.35,Brinp1
ENSMUSG00000035131,7.34,11.48,Brinp3
ENSMUSG00000022247,10.91,12.49,Brix1
